03/13/2020 07:49:29 PM 
------------ Options -------------
data-dir: ../../datasets/CASIA-WebFace
batch_size: 200
epochs: 3
training_name: test
Opt: 1
Opt_level: O2
Cropping: 0
-------------- End ---------------
03/13/2020 07:49:35 PM Initial
03/13/2020 07:49:36 PM Valid |     1/419  | loss:    9.8026 | fps:  100.7691 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     2/419  | loss:    9.8099 | fps: 2127.9863 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     3/419  | loss:    9.8375 | fps: 2399.6917 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     4/419  | loss:    9.8439 | fps: 2462.5457 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     5/419  | loss:    9.8446 | fps: 2523.8296 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     6/419  | loss:    9.8619 | fps: 2576.7612 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     7/419  | loss:    9.8622 | fps: 2664.7305 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     8/419  | loss:    9.8642 | fps: 2704.5417 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |     9/419  | loss:    9.8681 | fps: 2705.3728 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |    10/419  | loss:    9.8716 | fps: 2745.4478 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |    11/419  | loss:    9.8716 | fps: 2756.3518 | acc:    0.0000   
03/13/2020 07:49:36 PM Valid |    12/419  | loss:    9.8724 | fps: 2756.8945 | acc:    0.0000   
03/13/2020 07:49:37 PM Valid |    13/419  | loss:    9.8767 | fps: 2787.8179 | acc:    0.0000   
03/13/2020 07:49:37 PM Valid |    14/419  | loss:    9.8769 | fps: 2794.7434 | acc:    0.0000   
03/13/2020 07:49:37 PM Valid |    15/419  | loss:    9.8769 | fps: 2803.9146 | acc:    0.0000   
03/13/2020 07:49:37 PM Valid |    16/419  | loss:    9.8746 | fps: 2805.0654 | acc:    0.0000   
03/13/2020 07:49:37 PM Valid |    17/419  | loss:    9.8759 | fps: 2805.7988 | acc:    0.0000   
